generation,iters_per_gen,cand_vs_champ_gd,cand_vs_champ_wr,cand_vs_scripted_gd,cand_vs_scripted_wr,promoted,champion_gen
1,30,0.0200,0.4800,0.1800,0.5100,false,0
2,30,-0.3200,0.3500,-0.4000,0.3600,false,0
3,30,0.0200,0.5100,0.2000,0.5200,false,0
4,30,-0.3400,0.3200,-0.2400,0.3500,false,0
5,30,0.6200,0.6300,0.3200,0.5000,true,1
6,30,-0.1600,0.4100,-0.1800,0.4100,false,1
7,30,-0.6600,0.2500,-0.1600,0.4300,false,1
8,30,0.3400,0.6300,0.2400,0.5700,true,2
9,30,-0.2200,0.4300,-0.7800,0.2700,false,2
10,30,-0.0800,0.4400,-0.2400,0.4400,false,2
11,30,0.2000,0.6000,-0.2000,0.4200,false,2
12,30,-0.0400,0.4700,0.0400,0.5000,false,2
13,30,0.4200,0.6600,-0.2600,0.4000,false,2
14,30,-0.2400,0.4700,-0.2600,0.3700,false,2
15,30,-0.5400,0.3000,0.2800,0.6100,false,2
16,30,-0.6200,0.3000,-0.0800,0.4600,false,2
17,30,-0.1400,0.4400,0.3600,0.6000,false,2
18,30,-1.0800,0.2200,0.2400,0.5300,false,2
19,30,-0.3000,0.3700,-0.0800,0.4600,false,2
20,30,-0.8000,0.2300,0.1400,0.5400,false,2
21,30,0.6000,0.6300,-0.3600,0.3800,false,2
22,30,0.0800,0.5400,0.2800,0.6000,false,2
23,30,-0.2200,0.4100,-0.4800,0.3500,false,2
24,30,0.1600,0.5600,0.2600,0.5900,false,2
25,30,0.0000,0.5300,0.2400,0.5800,false,2
26,30,-0.4800,0.3000,-0.4000,0.3600,false,2
27,30,0.1400,0.5400,-0.3000,0.3900,false,2
28,30,-0.7600,0.2300,-0.6400,0.3000,false,2
29,30,-0.5600,0.3000,-0.3800,0.3600,false,2
30,30,0.0400,0.5100,-0.3000,0.3700,false,2
